"Hamilton_1" "Hamilton_11" "Hamilton_12" "Hamilton_13" "Hamilton_15" "Hamilton_16" "Hamilton_17" "Hamilton_21" "Hamilton_22" "Hamilton_23" "Hamilton_24" "Hamilton_25" "Hamilton_26" "Hamilton_27" "Hamilton_28" "Hamilton_29" "Hamilton_30" "Hamilton_31" "Hamilton_32" "Hamilton_33" "Hamilton_34" "Hamilton_35" "Hamilton_36" "Hamilton_59" "Hamilton_6" "Hamilton_60" "Hamilton_61" "Hamilton_65" "Hamilton_66" "Hamilton_67" "Hamilton_68" "Hamilton_69" "Hamilton_7" "Hamilton_70" "Hamilton_71" "Hamilton_72" "Hamilton_73" "Hamilton_74" "Hamilton_75" "Hamilton_76" "Hamilton_77" "Hamilton_78" "Hamilton_79" "Hamilton_8" "Hamilton_80" "Hamilton_81" "Hamilton_82" "Hamilton_83" "Hamilton_84" "Hamilton_85" "Hamilton_9" "Jay_2" "Jay_3" "Jay_4" "Jay_5" "Jay_64" "Madison_10" "Madison_14" "Madison_37" "Madison_38" "Madison_39" "Madison_40" "Madison_41" "Madison_42" "Madison_43" "Madison_44" "Madison_45" "Madison_46" "Madison_47" "Madison_48" "NA_18" "NA_19" "NA_20" "NA_49" "NA_50" "NA_51" "NA_52" "NA_53" "NA_54" "NA_55" "NA_56" "NA_57" "NA_58" "NA_62" "NA_63"
"the" 8.23019801980198 7.49601275917065 8.17551963048499 7.63673890608875 8.22538860103627 9.45151811949069 10.2987921169739 9.19540229885057 8.33333333333333 10.3601108033241 7.42401594419532 8.78955298844802 8.42767295597484 10.2335164835165 10.3426791277259 9.91071428571429 8.31643002028398 9.3210586881473 10.0536193029491 9.32703659976387 8.38215412347904 8.325952170062 9.15724188252463 9.28534167970788 8.27178729689808 9.94671403197158 9.90163934426229 10.8695652173913 11.0670194003527 11.0640870616687 9.41020543406229 10.7346528010735 9.01213171577123 9.25747348119576 10.2974828375286 8.70841487279843 8.7378640776699 10.3482587064677 10.6776180698152 9.10667823070252 9.19656392117231 10.2254165305456 8.5824493731919 7.67735665694849 10.3658536585366 9.93614303959131 10.8597285067873 8.30763960260363 9.33014354066986 9.07749077490775 8.52985449071751 6.39952153110048 6.41821946169772 5.23432744978698 4.90341753343239 7.51619870410367 8.68552412645591 9.41286113699907 8.45899227657227 8.15037593984962 11.4766641162969 9.70937912813738 9.46478873239437 9.41091954022989 10.3729603729604 10.8620689655172 13.0823529411765 11.5648854961832 11.9125683060109 9.06652360515021 11.3636363636364 10.1413944417357 9.01315789473684 10.7683000604961 9.107303877367 10.5153565851119 10.0486223662885 8.88991248272685 10.1745635910224 8.9041095890411 8.70947234583598 9.76050610031631 10.1913875598086 8.03011292346299 9.53006901084456
"of" 6.55940594059406 7.17703349282297 6.51270207852194 5.98555211558308 6.34715025906736 7.00293829578844 6.99300699300699 7.54622688655672 6.81306306306306 5.54016620498615 5.97907324364723 6.32847815168257 6.20545073375262 6.38736263736264 6.04361370716511 6.875 5.73022312373225 6.04142692750288 6.09919571045576 5.31286894923259 6.17395223073457 5.75730735163862 6.49398029916089 5.89462702138758 7.58247168882324 6.43872113676732 6.55737704918033 6.47233201581028 7.40740740740741 6.65054413542926 5.83167660702452 7.81616907078162 6.84575389948007 5.91449694631951 5.720823798627 5.87084148727984 6.0363022372309 8.25870646766169 7.64887063655031 5.98438855160451 7.27640222334512 6.14178373080693 5.30376084860174 6.5597667638484 6.86991869918699 6.33461047254151 6.07627666451196 5.66974991435423 7.00956937799043 6.34686346863469 7.77722027094832 4.96411483253589 4.27881297446515 4.38222763237979 3.93759286775632 4.27645788336933 5.22462562396007 5.77819198508854 5.8477381390217 5.71428571428571 6.00612088752869 5.74636723910172 5.74647887323944 6.60919540229885 6.497668997669 5.89655172413793 6.72941176470588 6.18320610687023 6.81238615664845 5.36480686695279 6.39204545454545 6.0945880058508 5.32894736842105 6.11010284331518 5.41027953110911 5.88235294117647 5.45650999459752 5.89590050667895 5.8354114713217 5.96868884540117 7.12015257469803 6.82331676457298 5.59808612440191 6.06440819740694 5.78376602037463
"to" 4.45544554455446 3.34928229665072 3.78752886836028 4.437564499484 3.78886010362694 4.35847208619001 3.68722186904005 2.74862568715642 4.08220720720721 5.37396121883657 4.53413054309915 4.52034153691612 3.9832285115304 4.32692307692308 4.11214953271028 5 3.85395537525355 4.7180667433832 3.15013404825737 3.95513577331759 4.82199188823795 4.47298494242693 4.37796424662532 3.80803338549817 2.85573609059577 3.86323268206039 4 4.199604743083 3.7037037037037 5.07859733978235 5.0364479787939 3.42167058034217 3.5528596187175 3.8572806171649 4.46224256292906 4.84344422700587 3.50358801181933 3.58208955223881 4.67145790554415 4.16305290546401 3.63820111167256 4.18163998693237 4.05014464802314 3.88726919339164 4.63414634146341 4.16347381864623 5.36522301228184 3.75128468653649 3.34928229665072 4.24354243542435 3.56246864024084 3.16985645933014 3.86473429951691 3.10407790626902 3.34323922734027 3.80129589632829 3.32778702163062 3.35507921714818 3.1261493196028 3.5187969924812 3.48125478194338 3.96301188903567 3.35211267605634 3.34051724137931 3.26340326340326 2.79310344827586 3.10588235294118 3.2824427480916 2.36794171220401 2.89699570815451 2.55681818181818 2.87664553876158 2.76315789473684 3.50877192982456 2.52479711451758 2.60281103591879 3.88978930307942 3.36250575771534 3.04239401496259 3.8160469667319 2.47933884297521 3.34387708992318 2.91866028708134 3.34588038477624 2.89188301018731
"and" 2.47524752475248 2.79106858054226 2.86374133949192 1.85758513931889 2.39637305699482 2.05680705190989 3.30578512396694 2.4487756121939 2.33671171171171 3.10249307479224 2.93971101145989 2.31039678553491 2.05450733752621 2.26648351648352 2.18068535825545 2.63392857142857 2.28194726166329 2.53164556962025 2.74798927613941 2.5974025974026 2.16313654799459 2.87865367581931 2.40788033564393 1.773604590506 3.64352535696701 1.64298401420959 1.63934426229508 1.82806324110672 1.85185185185185 2.78113663845224 1.98807157057654 3.48876216034888 2.20970537261698 2.53937640630022 2.23112128146453 2.5440313111546 1.7728999577881 2.28855721393035 1.84804928131417 2.38508239375542 2.07175341081354 2.41751061744528 2.31436837029894 2.62390670553936 2.76422764227642 2.2477650063857 2.650290885585 2.07262761219596 2.08133971291866 2.69372693726937 2.25790265930758 4.96411483253589 4.1407867494824 5.47778454047474 5.34918276374443 4.44924406047516 4.02662229617304 2.79589934762349 3.71460095623391 2.82706766917293 2.44835501147666 3.30250990752972 2.47887323943662 3.44827586206897 2.3018648018648 3.03448275862069 2.96470588235294 2.78625954198473 3.13296903460838 2.73605150214592 3.7405303030303 3.99804973183813 3.55263157894737 2.54083484573503 2.97565374211001 2.08224882873503 1.99891950297137 2.85582680792262 1.89526184538653 2.34833659491194 3.36935791481246 2.44012652507908 2.2488038277512 2.88582183186951 2.23463687150838
"in" 1.67079207920792 2.63157894736842 2.49422632794457 1.44478844169247 2.3639896373057 1.90989226248776 1.84361093452003 2.39880059970015 2.42117117117117 1.4404432132964 2.79023418036871 2.00904068307383 2.68343815513627 2.06043956043956 2.49221183800623 1.83035714285714 2.48478701825558 2.81933256616801 2.68096514745308 1.94805194805195 2.4785939612438 2.0814880425155 2.37139730025538 3.23422013562859 2.70802560315116 3.59680284191829 3.08196721311475 2.5197628458498 3.1305114638448 2.17654171704958 2.65076209410205 2.31465951023147 1.8630849220104 2.79652844744455 2.23112128146453 1.71232876712329 2.61713803292528 2.38805970149254 2.25872689938398 2.55854293148309 3.03183425972713 2.22149624305782 3.37512054001929 2.04081632653061 1.91056910569106 3.44827586206897 2.45636716224952 3.64850976361768 2.17703349282297 2.69372693726937 1.85649774209734 2.03349282296651 1.72532781228433 1.4607425441266 2.08023774145617 2.28941684665227 2.09650582362729 1.86393289841566 2.28025009194557 1.86466165413534 2.79265493496557 2.24570673712021 1.77464788732394 2.22701149425287 1.6025641025641 2.27586206896552 1.88235294117647 1.75572519083969 2.25865209471767 2.41416309012876 1.94128787878788 1.99902486591906 2.56578947368421 2.05686630369026 2.52479711451758 2.60281103591879 1.78282009724473 2.07277752187932 3.24189526184539 1.46771037181996 1.97075651621106 1.80750112968821 2.77511961722488 2.09117524048515 2.23463687150838
"a" 1.5470297029703 2.7511961722488 2.17090069284065 2.68317853457172 2.23445595854922 1.81194906953967 1.90718372536554 3.1984007996002 2.75900900900901 1.32963988919668 2.54110612855007 2.20994475138122 2.22222222222222 2.06043956043956 2.05607476635514 2.23214285714286 1.92697768762677 1.38089758342923 2.41286863270777 2.5974025974026 2.02794051374493 1.99291408325952 1.60525355709595 2.55607720396453 2.31413096996553 2.35346358792185 2.29508196721311 2.17391304347826 2.16049382716049 1.45102781136638 1.98807157057654 2.2140221402214 2.07972270363951 2.15364834458374 2.57437070938215 2.69080234833659 2.701561840439 2.6865671641791 2.6694045174538 2.21162185602775 3.23395654370894 1.89480561907873 2.21793635486982 2.23517978620019 1.54471544715447 2.22222222222222 1.42210730446025 2.38095238095238 1.72248803827751 2.50922509225092 2.35825388861014 1.79425837320574 0.897170462387854 0.973828362751065 0.668647845468053 1.38228941684665 2.59567387687188 1.72413793103448 2.0595807282089 2.76691729323308 2.02754399387911 1.75033025099075 2.28169014084507 1.79597701149425 2.70979020979021 1.48275862068966 0.941176470588235 1.6030534351145 1.27504553734062 1.87768240343348 1.75189393939394 1.31643100926377 1.84210526315789 1.99637023593466 1.26239855725879 2.39458615304529 1.89086980010805 2.21096269000461 1.74563591022444 2.34833659491194 3.05149396058487 1.67193854496159 2.44019138755981 3.13676286072773 1.90601380216891
"be" 2.1039603960396 1.75438596491228 1.84757505773672 2.57997936016512 1.42487046632124 2.69343780607248 1.52574698029243 1.99900049975012 1.52027027027027 2.49307479224377 2.5909317389138 2.61175288799598 2.26415094339623 2.33516483516484 2.55451713395639 2.23214285714286 2.48478701825558 2.07134637514384 2.01072386058981 1.88902007083825 1.89274447949527 1.99291408325952 2.882159795695 2.29525299947835 0.886262924667651 2.97513321492007 2.42622950819672 3.21146245059289 1.71957671957672 1.08827085852479 2.38568588469185 1.71083529017108 2.03639514731369 1.22147219543555 2.17391304347826 2.00587084148728 2.06838328408611 2.38805970149254 1.43737166324435 3.16565481352992 1.92016169782719 2.15615811826201 2.89296046287367 1.70068027210884 1.95121951219512 2.17113665389527 2.32708468002586 1.79856115107914 2.2488038277512 1.25461254612546 1.30456598093327 0.897129186602871 2.13940648723257 1.52160681679854 2.30312035661218 2.4622030237581 2.02995008319468 2.09692451071761 1.7285766826039 1.53383458646617 1.98928844682479 1.78335535006605 2.08450704225352 1.72413793103448 2.27272727272727 1.86206896551724 2.44705882352941 2.74809160305344 1.27504553734062 1.66309012875536 0.284090909090909 0.68259385665529 0.460526315789474 2.84331518451301 2.79531109107304 3.27954190525768 2.48514316585629 2.34914785812989 1.99501246882793 2.49510763209393 2.28862047043865 1.94306371441482 2.48803827751196 2.55123379339189 1.97173841603681
"that" 1.73267326732673 0.996810207336523 1.24711316397229 1.85758513931889 1.23056994818653 0.783545543584721 1.33502860775588 1.19940029985008 1.49211711711712 1.55124653739612 1.64424514200299 1.55700652938222 1.76100628930818 2.60989010989011 1.24610591900312 1.33928571428571 1.57200811359026 1.72612197928654 2.14477211796247 1.88902007083825 1.93780982424516 1.63861824623561 1.53228748631886 1.51278038601982 1.08321024126046 2.04262877442274 2.09836065573771 1.18577075098814 1.58730158730159 0.967351874244256 1.32538104705103 1.54310634015431 1.16984402079723 1.12504018000643 1.25858123569794 0.929549902152642 1.68847615027438 1.29353233830846 1.79671457905544 1.69124024284475 1.61697827185447 2.22149624305782 1.83220829315333 0.87463556851312 1.01626016260163 1.25159642401022 1.22818358112476 2.07262761219596 2.00956937799043 1.25461254612546 1.25439036628199 2.63157894736842 1.38026224982747 1.03469263542301 1.70876671619614 1.98704103671706 1.03161397670549 1.53774464119292 1.7285766826039 1.68421052631579 1.07115531752104 2.08058124174373 1.1830985915493 1.14942528735632 1.45687645687646 0.96551724137931 1.41176470588235 1.48854961832061 1.31147540983607 1.44849785407725 0.994318181818182 0.633837152608484 0.592105263157895 1.27041742286751 1.08205590622182 1.3014055179594 1.62074554294976 1.1054813450023 1.39650872817955 1.56555772994129 1.14431023521933 1.40081337550836 1.57894736842105 1.46382266833961 1.64311534669734
"it" 1.23762376237624 0.837320574162679 1.20092378752887 0.619195046439629 0.971502590673575 1.81194906953967 1.01716465352829 0.849575212393803 1.29504504504505 1.27423822714681 1.14598903836572 1.30587644399799 1.80293501048218 1.44230769230769 1.1214953271028 1.875 1.47058823529412 1.55350978135788 1.60857908847185 2.30224321133412 1.03650292924741 1.15146147032772 1.27690623859905 1.72143974960876 0.541605120630231 1.86500888099467 1.63934426229508 1.6304347826087 1.54320987654321 1.20918984280532 1.32538104705103 1.00637370010064 0.736568457538995 1.22147219543555 1.7162471395881 1.07632093933464 1.81511186154496 1.39303482587065 1.38603696098563 1.25758889852559 1.46538655886812 1.7641293694871 1.25361620057859 0.971817298347911 1.26016260162602 1.6602809706258 0.840336134453782 1.74717368961973 1.5311004784689 1.51291512915129 1.20421475163071 2.27272727272727 1.44927536231884 1.70419963481436 1.56017830609212 1.29589632829374 1.56405990016639 1.44454799627213 1.36079440970945 1.47368421052632 1.68324407039021 1.1558784676354 1.46478873239437 1.04166666666667 1.66083916083916 0.655172413793103 0.894117647058824 1.22137404580153 0.801457194899818 1.28755364806867 1.23106060606061 0.926377376889322 0.789473684210526 1.57289776164549 1.44274120829576 1.66579906298803 1.72879524581307 0.829111008751727 1.34663341645885 0.831702544031311 1.27145581691036 1.17487573429733 1.14832535885167 1.29652864910079 1.31449227735787
"is" 0.804455445544555 0.358851674641148 1.0161662817552 0.928792569659443 1.55440414507772 0.685602350636631 0.699300699300699 1.34932533733133 1.35135135135135 1.27423822714681 0.49825610363727 0.853842290306379 1.0482180293501 0.961538461538462 0.872274143302181 1.38392857142857 0.760649087221095 1.32336018411968 1.07238605898123 1.53482880755608 0.721045515998197 1.81576616474756 1.27690623859905 0.886802295252999 0.393894633185623 1.24333925399645 0.655737704918033 0.839920948616601 1.27865961199295 1.08827085852479 1.25911199469848 1.77792687017779 0.606585788561525 1.575056252009 0.80091533180778 1.17416829745597 1.22414520894892 1.09452736318408 0.872689938398357 0.954032957502168 1.0611419909045 1.60078405749755 1.06075216972035 1.02040816326531 0.934959349593496 1.5581098339719 1.03425985778927 1.98698184309695 1.62679425837321 1.40221402214022 0.802809834420472 0.956937799043062 0.483091787439614 0.608642726719416 0.520059435364042 0.734341252699784 1.39767054908486 1.16495806150979 1.10334681868334 1.71428571428571 2.1805661820964 0.95772787318362 1.07042253521127 1.40086206896552 0.990675990675991 0.96551724137931 1.08235294117647 0.267175572519084 1.56648451730419 1.55579399141631 0.473484848484849 0.780107264748903 0.986842105263158 1.08892921960073 0.541027953110911 1.04112441436752 1.02647217720151 1.28972823583602 1.74563591022444 1.22309197651663 0.635727908455181 1.53637596023498 0.813397129186603 1.54746967795901 1.18304304962208
